Pointer,Japanese,English,Draft version,German,Draft version (German),Notes
0x1201ea,"わるかったよ ミヨ
それで あやしいヤツとか
みなかった?","Sorry 'bout that, Miyo...
So have you seen anyone suspicious?",,,,
0x1201ec,"うーん...そうねー
ほくとうのほうに どうくつが
あるじゃない?
あそこにデンジュウとニンゲンが
はいっていくのを みたわよ
いっぴきだけ どうくつの
まえに のこっていたわ
このむらにきて あったことって
そのことぐらいかなー","Hmmm... Well, there's a cave northeast of here, right?
I saw some humans and Denjuu going in there, and one of them stayed behind at the entrance.
That's the only thing I can think of, right now...",,,,
0x1201ee,"サンキュー ミヨ
たすかったよ","Thanks Miyo, that really helps!",,,,
0x1201f0,"さて...ワタシは
あたらしい トモダチを
さがしにいくわ
わるいけど そこどいてくれる?","Well then... I'm off to go look for some more friends.
Sorry, but could you move?",,,,
0x1201f2,じゃあね <&0xc92c>,"See you, <&0xc92c>!",,,,
0x1201f4,たいヘんダス!たいヘんダス!,"It's terrible, man! It's terrible!",,,,
0x1201f6,いったい どうしたんだ?,What happened?,,,,
0x1201f8,"オラがとうばんで あずかった
アンテナのきのカギを 
ぬすまれてしまったダス!!
あー...いったいダレがカギを
ぬすんだダスかー","The Antenna Tree key that I was entrusted with was stolen, man!
Aaah... Who in the world could have done this?!",,,,
#######,Story Messages 2   -   254 strings   -   Messages from Kurinon to Ion Island,,,,,
#######,Kurinon Village story (cont'd),,,,,
0x12c000,"カギを ぬすんだ はんにんの
こころあたリは ないの?",You can't think of anyone who might have stolen it?,,,,"Status: Translated 100%
"
0x12c002,"... ... ... ...
... ... ... ...","................
................",,,,
0x12c004,"..........そうダス
そういえば むらのあちこちに
ヘんなニンゲンと みなれない
デンジュウがいたダス
アイツらが カギを 
ぬすんだに ちがいないダス!
おねがいダス 
『アンテナのき』の カギを
とリかえして ほしいダス!","........... Well, now that you mention it, there have been a lot of weird humans and Denjuu I don't recognize around lately, man.
They must have been the ones who stole the key, man!
Please, man!
Could you get the key to the Antenna Tree back from them?",,,,
0x12c006,"じぶんで とリかえせば
いいじゃないか",Can't you just do it yourself?,,,,
0x12c008,"だって あのデンジュウ
つよそうじゃないダスか...","But, those Denjuu looked pretty strong, man...",,,,
0x12c00a,"わかった
たのまれて あげるよ","Alright, I'll accept your request.",,,,
0x12c00c,"うわーい あリがとうダス!
おれいは きちんとするから
おねいがいするダス!","Wooo, thanks man!
I'll be sure to pay you back, so please do it, man!!",,,,
0x12c00e,"なんだ オマエたちは?
ようがないなら いまはここに
ちかづくな","Who are you guys?
If you don't have any business here, then go away.",,,,
0x12c010,"おいっ!
オマエが アンテナのきの
カギをぬすんだ はんにんか?
おとなしく カギを かえせよっ","Hey!
You're the one who stole the key to the Antenna Tree, right?
Give it back, now!",,,,
0x12c012,"カギ?そんなものはしらないぞ
なんで オレがうたがわれなきゃ
いけないんだ?
もしかしてオレとたたかうきか?
ふん...かえリうちに
してやるぜ!","Key? I don't know what you're talking about.
How come I'm the one being suspected, here?
Are you looking for a fight?
Heh... Alright, bring it on!",,,,
0x12c014,"ふーん なかなかつよいな
でもカギのことなんかなんにも
しらないし
ここからさきにいっても
ほんとうになにもないぞ
オレのトモダチがいるだけさ","Hmph... You're pretty strong, huh?
But I really don't know anything about that key, and there's nobody else around back here except for one of my friends.",,,,
0x12c016,"もしもし?マツキヨですけど?
いまムサさんに きいたのですが
<&name>くんのいる
クリノンむらで カクザとうの
ひとたちが なにかしている
らしいです
きをつけてくださいね!","Hello? It's me, Matsukiyo.
I just heard it from Musa, but apparently those Kakuza Party people are up to something in Kurinon Village.
You'd best be careful!",,,,
0x12c018,"あーあー
なんで このネリカラさまが
こんなところで みはリを
しなくちゃならんのだ...
あっ!","Honestly... 
Why do I, the honorable Mr. Nerikara, have to keep watch in a place like this...
Hm?!",,,,
0x12c01a,"あっ! そこにみえるは
トロンコむらであったチミ!
チミ!ちょっとこっちに
きなさい!","Ah! You're the kid who I met in Toronko Village!
Hey, kid! Come over here!",,,,
0x12c01c,"チミチミ!
よくきてくれたね!
チミはアレだろ?
タバスコをたおしにきたのだろ?そうだろーそうだろー!
アッハッハ!ワタシにはちゃんと
わかっておるよ!チミ!
どんどん ジャマしたまえ!
どんどんなどんどん!","You, kid!
Thanks for coming! You're here for that, right?
You're here to beat Tabasco?
That's right, isn't it? That's right!
Ahahaha! It seems you and I understand eachother, kid!
Let's mess her plans right up, now! Right up, right up!",,,,
0x12c01e,"ジャマって...オマエたち
ナカマじゃなかったのか?","""Her"" plans...? I thought you guys were working together?",,,,
0x12c020,"かまわん!かまわん!
チミが タバスコのジャマを
するのなら よろこんで
きょうリょくするぞ!
おー!そうだ!
みんなにはナイショだぞ
ここにどうくつのおくに はいる
ためのカギがある
これをチミにプレゼントしよう!
イヤイヤ!かまわんよ!
なにもいわずにとって
おきなさい!
そのかわリ せんきょのときは
『きよきいっぴょう』を!","That doesn't matter now!!
If you're thinking of getting in her way, I will glady help you out!
Oh! That's right!
This is a just between you and me, kid, but you need a key to get to the center of this cavern.
Here, I'll give it to you! As a present!
No, no! It's perfectly fine!
Just take it with you and don't say a word!
In exchange, all I ask for is your honest vote!",,,,
0x12c022,『どうくつのカギ』をてにいれた!,"Obtained ""Cavern Key""!",,,,
0x12c024,カギをあけた,Used the key.,,,,
0x12c026,"たーリらリらー
とうとうクリノンむらの
たからをみつけたわー
これでクリノンむらの
デンジュウを ばいしゅうして
『クリノンむら』を
『カクザとうむら』に
できるんだわー
そして それをあしばにして
どんどんとほかのむらやまちに
しんしゅつー
せんきょでは たをよせつけない
あっとうてきなひょうすうで
いちいとうせんよー","Traa lalaa~~
Finally, I've found it... The treasures of Kurinon Village!
With this, we can buy out all of the Denjuu in this area and change ""Kurinon Village"" into ""Kakuza Party Village""!
And once we have a foothold here, we can start spreading out into other towns!
The polling stations will be flooded with our votes!",,,,
0x12c028,"そーすればー ワタシはー
デンジュウカイはつの じょせい
だいとうリょうになるんだわー
...ウフ...ウフフフフ
すばらしー!!
あかるいミライをつくリます!
カクザとう!カクザとうで
ございます!","And then~ I'll become~
The first female president of the Denjuu World~!
...Hmhm...Hmhmhmhm...
Excellent!!
We will create a brighter future!
Kakuza Party! We are the Kakuza Party!",,,,
0x12c02a,"あら?アナタは トロンコむらで
ワタシたちのジャマをしてくれた
<&name>くんね?
ここでもハデに やってくれてる
みたいだけど??","Hm? You're the one who got in our way at Toronko Village, <&name>, right?
Though you're certainly acting like a big shot coming in here, aren't you?",,,,
0x12c02c,"このタバスコさまを あまく
みないでほしいわね?
だいたい あれだけうちの
せんきょアルバイトを
やっつけているんだから ここに
きてるぐらいしってるわよー
でもまさか ネリカラのオヤジが
アナタのてだすけをするとは
さすがにおもわなかったけどね
まぁいいわ ワタシのジャマを
しにきたのでしょう?
いいわよ タバスコさまは
にげもかくれもしないわよ!
みてなさい!","...I'd prefer if you didn't take me lightly, you know? 
I already knew that you defeated our election workers and were on your way here.
But who could have guessed that old man Nerikara would try to help you out...
I never expected that one.
Whatever, so you came here to get in my way, right?
Very well, but there's no running or hiding from Lady Tabasco!
Just you watch!",,,,
0x12c02e,"ちょっとまちなさいよ...
ピ...ポパ...っと
もしもーし!あーリムちゃーん
ワタシータバスコー
いまこまってんのー うんー
ちょっときてほしいんだー
うん そうそう どうくつのなか
うんうん じゃぁまってるからー","Just wait a second...
Beep...Beep beep...
Helloo~? Oh, hey Limmy...
Yeah, it's me, Tabasco...
I need some help... Yeah...
Do you think you could come?
Mhm... Yeah, inside the cave...
Right... Okay, I'll be waiting!",,,,
0x12c030,"さーこんどばっかリは
ねんぐのおさめどきよ!
<&name>くん!","Alright <&name>, it's time to pay your taxes!!",,,,
0x12c032,"...まけた...まけたわ
あんなにみついでなかよくなった
リムちゃんをいともかんたんに
たおされるなんて...
...............
キーッ!","I lost... I actually lost. 
Well, I wasn't expecting this.
For Limmy to lose so easily like that...
................
ARGH!!",,,,
0x12c034,くやしいー!!,This SUCKS!,,,,
0x12c036,にくいー!!,So ANNOYING!,,,,
0x12c038,はらたつー!!,I'M ANGRY!!,,,,
0x12c03a,"おぼえてらっしゃい!
<&name>!!
ワタシは だいとうリょうに
なるのを あきらめて
いませんからね!!
もうこんなもの ひつようないわ
アナタのすきにしなさい!!","Remember this, <&name>!!
I'm not going to give up on becoming president!! 
I don't even need this stuff anymore, take it for all I care!!",,,,
0x12c03c,"『アンテナのきのカギ』を
とリもどした!","Retrieved ""Antenna Tree Key""!",,,,
0x12c03e,"『リボルバーガン』を4つ
てにいれた!","Got 4 ""Revolvers""!",,,,
0x12c040,"『テレカ』を4まい
てにいれた!","Got 4 ""Phone Cards""!",,,,
0x12c042,"カクザとうも おいだしたし
ここからでようぜ!",The Kakuza Party is gone. Let's get out of here!,,,,
0x12c044,"もしもし?マツキヨですけど?
クリノンむらにいた
カクザとうのひとたちは
にげだしたみたいですね
よかった よかった
ほかのむらでも おなじような
ことが おきているかも
しれません
がんばってください!
<&name>くん","Hello? It's me, Matsukiyo. It looks like the Kakuza Party has fled Kurinon Village.
That's a relief...
Similar things may be happening in other towns.
Keep up the good work, <&name>!",,,,
0x12c046,"アンテナのきにはいるカギを
つかった",Used the Antenna Tree Key.,,,,
0x12c048,"カギが かかっている
るすのようだ","The door is locked.
They must not be home.",,,,
0x12c04a,"カギが かかっている
るすのようだ","The door is locked.
They must not be home.",,,,
0x12c04c,"カギが かかっている
るすのようだ","The door is locked.
They must not be home.",,,,
0x12c04e,"カギが かかっている
るすのようだ","The door is locked.
They must not be home.",,,,
0x12c050,"カギが かかっている
るすのようだ","The door is locked.
They must not be home.",,,,
0x12c052,"カギが かかっている
るすのようだ","The door is locked.
They must not be home.",,,,
0x12c054,"カギが かかっている
るすのようだ","The door is locked.
They must not be home.",,,,
0x12c056,"カギが かかっている
るすのようだ","The door is locked.
They must not be home.",,,,
0x12c058,"カギが かかっている
るすのようだ","The door is locked.
They must not be home.",,,,
0x12c05a,"カギが かかっている
るすのようだ","The door is locked.
They must not be home.",,,,
0x12c05c,"カギが かかっている
るすのようだ","The door is locked.
They must not be home.",,,,
0x12c05e,"カギが かかっている
るすのようだ","The door is locked.
They must not be home.",,,,
0x12c060,"カギが かかっている
るすのようだ","The door is locked.
They must not be home.",,,,
0x12c062,"『たかピーのいえ 
 テレファングについて
 おしえるよ!』","""Taka-P's House
I'll teach you all about Telefang!""",,,,These two lines are for when you approach Taka-P's house in Toronko.
0x12c064,"ふーん....
『たかピー』ね...","Hmmm....
""Taka-P"", huh...",,,,
#######,42 strings   -   Iris story,,,,,
0x12c066,あっ!ニンゲンだ!,Eek! It's a human!,,,,
0x12c068,"うわーっ!!!!!!!!!
うみの デンジュウだー!!!",AAAAAH!! It's an ocean Denjuu!,,,,
0x12c06a,にげないでっペ!にげないでっペ!ボクは なにもしないっペ!,"No, please don't run away-ope!
I won't do anything-ope!",,,,
0x12c06c,"ほんとに なにもしない?
そばに いってもだいじょうぶ?","...You really won't do anything?
Are you sure it's okay?",,,,
0x12c06e,"だいじょうぶだっペ!
だから こっちにきて 
ボクの はなしをきいてくれっペ","That's right-ope, so please listen to what I have to say!",,,,
0x12c070,"あのねボク うみのみんなに
イーリスにいっちゃダメって
いわれたんだペど どうしても
『ゲームマシン』がほしくて
ここにきちゃったんだっペ
でもイーリスには 
『ゲームマシン』を うっている
ところが ないんだっペ...
だれかに たのもうと おもっペもイーリスのデンジュウは
ここにちかづかないし...
ニンゲンは ボクをみると
キミみたいに にげだしちゃうし","You see, well, everyone in the ocean's been saying to stay away from Iris, but I just really wanted a ""Game Machine"", so I came here-ope...
But it turns out there's nowhere in Iris that sells Game Machines-ope...
I thought I could ask someone for help, but all of the Denjuu here stay away from me, and the humans just run away like you did...",,,,
0x12c072,"おねがいだっペ!
『ゲームマシン』を もってきて
くれないっペ?
『ゲームマシン』を もってきて
くれたら おれいに うみに 
はいれるように してあげるっペよ","So please-ope, do you think you could help me find a Game Machine?
If you bring me one, I can make it so you can enter the sea if you want-ope!",,,,
0x12c074,"『ゲームマシン』をもってきて
くれっペ!
おねがいだっペ!",Please find me a Game Machine-ope!,,,,
0x12c076,"『ゲームマシン』をあげますか?
 はい  いいえ<*A>","Hand over the ""Game Machine""?
<0>Yes<0>No<*A>",,,,
0x12c078,"『ゲームマシン』だっペー!!
あリがとうだっペ!
やくそくどおリ うみにつれて
いってあげるっペ!
これが ボクのデンワバンゴウ!","It's a Game Machine-ope!!
Thank you so much-ope!
As promised, I'll carry you into the ocean-ope!
Here's my phone number!",,,,
0x12c07a,"リリオペの デンワバンゴウを
てにいれた",Got Liriope's phone number!,,,,
0x12c07c,"これで みずのなかに
はいれるように なるんだっペ!
たまには デンワしてくれっペ!
それじゃ バイバーイ","Now you'll be able to enter the ocean whenever you want-ope!
Remember to call me sometimes-ope, okay?
Bye-bye~",,,,
0x12c07e,"あ!イーリスからきたの?
うみをわたってこれたってことは
キミはTファンガーなんだね?","Hey! Did you come from Iris?
If you've made it this far that must mean you're a T-Fanger, right?",,,,
0x12c080,"じつは いま パームかいは
おそろしい Tファンガーに 
ねらわれてるんだ
そいつは パームかいにある
たいせつな アンテナのきを
たたきおろうと しているんだ!","Right now, the Palm Sea is being targeted by this really scary T-Fanger...
He's been trying to cut down our precious Antenna Tree!",,,,
0x12c082,"なんだって?
なんてことするんだ!
おなじ Tファンガーとして
ゆるせない!","What?!
That's horrible!
As a fellow T-Fanger, I can't forgive that!",,,,
0x12c084,"だから おねがいだよ!
そのTファンガーを キミが 
やっつけて くれないか?","Then please!
Do you think you could defeat that guy?",,,,
0x12c086,"もちろん! でもどこにいるか
わからないじゃん",Definitely! But I'll need to know where to find him first.,,,,
0x12c088,"ボクに さくせんが あるんだ
いいかい よくきいて...
アンテナのきの とびらは
いま カギかかかって
はいれないんだ
だから キミが カギをあけて
アイツを まちぶせて やっつけてしまうんだよ","Well, I have a plan for that.
Okay, listen up...
Right now, the gate to the Antenna Tree is locked, and nobody can get inside...
So I want you to open it, ambush the guy, and beat him up.",,,,
0x12c08a,すごい! あったまいい!,Whoa! That sounds pretty smart!,,,,
0x12c08c,いやぁ それほどでも....,"Haha, you really think so? ...",,,,
0x12c08e,"いや..そうじゃなくて..
でもアンテナのきに いくには
『うみのどうくつ』にある
スイッチをおして とびらを 
あけなくては ダメなんだ
うみからは むリなんだけど
イーリスから どうくつに
はいるほうほうがあるんだ!
あるばしょで あいことばをいえばそこに かくれている
デンジュウが どうくつに
あんないしてくれるよ","Er, I mean....
Anyway, to get to the Antenna Tree you'll need to enter the Ocean Cavern, and hit the switch inside to open up the gate.
You won't be able to reach it from the sea, but there's a way to get there from Iris...
There's a certain place that asks you for a password, and inside you'll meet a Denjuu who'll guide you to the cave.",,,,
0x12c090,"そのデンジュウに あうための
あいことばは
『ふるききは ささえる
 ふたつのせかいを ささえる』
だよ わかったかい?","The password you'll need to meet the Denjuu is...
""He who controls the ancient tree holds control of both worlds"".
You got all that?",,,,
0x12c092,"たのんだよ
アイツをやっつけてくれ!!","I'm counting on you, please stop that T-Fanger!",,,,
0x12c094,"『あいことばをいえぬもの
 たちいること キンシ』","""NO ENTRY WITHOUT PASSWORD""",,,,
0x12c096,"『あいことばをいえぬもの
 たちいること キンシ』
あいことばは...??
... ... ...
『ふるききは ささえる
 ふたつのせかいを ささえる』
あいことばを かくにんした
はいってください","""NO ENTRY WITHOUT PASSWORD""
What's the password...??
................
""He who controls the ancient tree holds control of both worlds.""
Password accepted, please enter.",,,,
0x12c098,"ようこそいらっしゃいました
ここは うみのデンジュウの
まもリがみをまつる
『うみの どうくつ』ヘ
いくための ヒミツのかくれが
アナタはわれわれのトモダチと
みとめられました
うみのデンジュウのせいいきに
ごあんないしましょう
それから どうくつから
おかえリのさいは うきしまの
まんなかにたっていただければ
イーリスにもどってくることが
できます
では いってらっしゃい...","Welcome, welcome.
This hidden passageway leads to the ""Ocean Cavern"", a shrine to the ocean Denjuu's guardian spirit.
I see our friends have deemed you worthy to enter...
I will guide you there. When you wish to leave, simply stand in the center of the small island, and you will be returned to Iris.
I wish you a safe trip...",,,,
0x12c09a,"アンテナのきにつづく
とびらをひらいた",Opened the gate to the Antenna Tree.,,,,
0x12c09c,"もしもし?マツキヨですけど?
<&name>くん
ききましたよ...
アンテナのきをねらっている
Tファンガーとは いったい
なにものなのでしょうか?
うーん きょうみぶかいです","Hello? It's me, Matsukiyo.
<&name>, I heard all about it...
I wonder just what's going on with that T-Fanger?
Hmmm, it's a mystery...",,,,
0x12c09e,"アンテナのきにはいるとびらを
ひらいた",The door is now open.,,,,
0x12c0a0,"もしもし!マツキヨです!
<&name>くん!!
いまそちらにむかって
ナゾのデンジュウたちが
むかっています!!
...ようすがおかしいです!
はやくかくれてください!
<&name>くん!!","Hello? It's me, Matsukiyo!
<&name>!!
There's a group of strange Denjuu heading towards where you are now!
...Something weird is going on!
Please get out of there, now!
<&name>!!",,,,
0x12c0a2,もうおそい!!,...Too late!!,,,,
0x12c0a4,"...オマエか?
うみのデンジュウにきょうリょく
して オレのジャマをしようとするTファンガーというのは...
オレのナマエは『カイ』
『シンデンジュウ』のめいれいで
デンジュウカイから すベての
アンテナのきを けす!","...Hmm?
So you're the T-Fanger who's been cooperating with the ocean Denjuu to try and stop me...
My name is ""Kai"".
I'm under orders from the Divine Denjuu to eliminate all Antenna Trees from the Denjuu World!",,,,
0x12c0a6,"『シンデンジュウ』?
なんだよそれ???
それよリも なぜ
そんなことを するんだ!?","""Divine Denjuu""?
What the heck is that??
And anyway, why would you want to do something like that?!",,,,
0x12c0a8,"オマエに はなすひつようはない
オレのジャマをするな...
アンテナのきなんて このよに
ひつようのないものだ!","I have no reason to talk to you.
You'd better not interfere...
Antenna Trees are not needed in this world!",,,,
0x12c0aa,"ふん...
どうしても オレのジャマをする
つもリなんだな...
わかった...
オマエとにらみあっていても
じかんのムダだ!","Hmph, looks like you insist on getting in my way...
I see...
I'm done wasting time with you!",,,,
0x12c0ac,"こい!コイツらにすがたを
みせてやれ!!",Come! Show yourself to them!,,,,
0x12c0ae,"くっ...
まさかオマエのつれている
『ヘイタイ』がそこまでつよい
とはな...","Ugh...
To think the soldiers you brought with you would be so strong...",,,,
0x12c0b0,"『ヘイタイ』じゃない!
デンジュウは オレのだいじな
『トモダチ』だ!","They're not ""soldiers""!
These Denjuu are my precious friends!",,,,
0x12c0b2,"『ヘイタイ』じゃない?
『トモダチ』だと?...
ふん!まぁいい!
きょうのところはオレのまけだ
しかし このさきオレのジャマを
するようだったら こんどは
ようしゃしないぞ!!","Not soldiers, but friends?...
Hmph! Whatever...
You've won for now, but if you choose to interfere with me again... I won't be nearly as merciful!!",,,,
0x12c0b4,"もしもし!マツキヨです!
いきなリ デンワが きれたので
どうしたのかとおもいましたよ","Hello! It's Matsukiyo!
The call got cut off all of a sudden, can you tell me what happened?",,,,
0x12c0b6,"『カイ』っていうヤツに
いきなリ テレファングを
いどまれたんだ
デンジュウカイから
アンテナのきを なくそうと
しているみたいなんだ","This jerk named ""Kai"" suddenly challenged me to Telefang...
It looks like he's trying to eliminate all the Antenna Trees from the Denjuu World.",,,,
0x12c0b8,"それは たいヘんでしたね...
しかし その『カイ』という
しょうねんのもくてきはなんなの
でしょう...
まぁ なやんでいても
しょうがあリせん!
<&name>くんが
まもったアンテナのきをとおって
つぎのまちにすすみましょう!","That sounds bad...
I wonder just what this ""Kai"" person's goal could be?...
Well, there's no use worrying about it for now!
<&name>, you should pass through that Antenna Tree and go on to the next town!",,,,
#######,32 strings   -   Freesia story,,,,,
0x12c0ba,"こんにちは
Tファンガーの かたですか?","Hello, are you a T-Fanger?",,,,
0x12c0bc,"ここ きかいのまち フリジアでは『Tファンガーたいかい』を
かいさいして いますよ",Freesia is holding a T-Fanger tournament right now.,,,,
0x12c0be,"Tファンガーたいかい!
なんかおもしろそーじゃん!
それって どんなルールなの?","A T-Fanger tournament?!
That sounds awesome!
How does it work?",,,,
0x12c0c0,"まちの にしがわにある
もリを つかって
かちぬきせんの テレファングを
おこなってもらいます
そして もリの つきあたリにあるほこらから しょうひんを
とってきて いただきます","Well, we're using the forest to the west of town for an elimination-style Telefang tournament.
The winner will pick up their prize from the shrine at the far end of the forest.",,,,
0x12c0c2,でる! オレ それにでるよ!,Count me in! I am so doing this!,,,,
0x12c0c4,"わかリました
それでは おナマエを...
... ... ... ...
... ... ... ...
<&name>さま..っと
たしかに うけたまわリました","Alright, then we just need your name...
...............
...............
Mr. <&name>... 
Okay, you've been entered.",,,,
0x12c0c6,"うおー!
どんなデンジュウが 
でてくるんだろう たのしみー!","Alright!!
I can't wait to see what kinds of Denjuu show up!",,,,
0x12c0c8,"フリジアのまちで たいかいの
じょうほうを あつめておいた
ほうが よろしいですよ
それでは とうろくしておきます
がんばってくださいね","It might be a good idea to look around town and gather some information.
Well, you're all entered now, so good luck!",,,,
0x12c0ca,"...............
...............
あのひと どっかで みたことが
あるようなきが....
まぁ いいか!","...............
...............
Come to think of it, haven't I seen that guy somewhere before?...
Well, whatever! ",,,,
0x12c0cc,"いくぞ!1かいせん
オレと テレファングだ!","Let's go! For the first round, you'll be fighting me! Telefang!",,,,
0x12c0ce,"なかなか やるね!
2かいせんも がんばって!","Hey, not bad!
Good luck with round 2!",,,,
0x12c0d0,"2かいせんは ワタシが
あいてですわ
テレファング いきますわよ","I'll be your opponent for the second round.
Now, let's Telefang!",,,,
0x12c0d2,すばらしい テレファングですわ!3かいせんも がんばって!,"That was an excellent battle!
Good luck with the next round!",,,,
0x12c0d4,"いくぞ!3かいせん
ワタシが あいてよっ!","Here we go, round 3!
See if you can beat me!",,,,
0x12c0d6,"アンタ なかなか やるね!
4かいせんも がんばるんだよ!","Heh, you're pretty good!
Good luck in round 4!",,,,
0x12c0d8,4かいせんは オレが あいてだ!かぜになるぜ!ゴーゴー!!,"Your opponent for the 4th round is me!
I'm as fast as the wind! Go, go!!",,,,
0x12c0da,"やるな! オマエになら
まけても くいはない!
つぎもがんばるんだぜ!","Not bad! I have no regrets losing to one such as you!
Good luck with the next one!",,,,
0x12c0dc,"おっ!
オマエTファンガーだな!
オレたちは
ゆうしょうこうほナンバーワンの
スゴウデTファンガーさまの
コブンさまだ! エッヘン!","Oho!
You're a T-Fanger, aren't you?
Well, we're the Leading #1 Amazing T-Fanger's trusted lackies! Hahaha!",,,,
0x12c0de,"スゴウデTファンガーさまは
ゆうしょうしょうひんを
うけとリに このさきにある
ほこらヘ いっているのだ","The Amazing T-Fanger is just up ahead, claiming the winner's prize from the shrine!",,,,
0x12c0e0,"ここまできた Tファンガーなら
それなリのチカラをもって
いるだろうが
スゴウデTファンガーさまには
かなわないさ!","It may have taken some skill to make it this far, but you're still nothing to compared to the Amazing T-Fanger!",,,,
0x12c0e2,"スゴウデTファンガーさまの
てを わずらわすまでもない
オレタチがあいてをしてやるよ!
かくごしな!!","We can't allow anyone to get in the way of the Amazing T-Fanger!
We'll be your opponents!
Prepare yourself!!",,,,
0x12c0e4,"うわっ!
オレたちの たいせつな
デンジュウが! くそー!
おぼえてろ!","Waah!
Our poor Denjuu... Darn it, we'll remember this!",,,,
0x12c0e6,"...ん?
なんだ オマエは?
なんで ここまでこれたんだ?
オレの コブンたちは なにを
しているんだ?","...Hm?
Who are you?
How did you get in here?
What do those two think they're doing...",,,,
0x12c0e8,"ヘヘっ!やっとここまできたぜ!
オマエが
『スゴウデTファンガー』とか
いうヤツか?
わるいけど オマエをたおして
Tファンガーたいかいの
ゆうしょうは オレが
いただくぜ!","Heh! I've finally made it!
So you're the one they're calling the ""Amazing T-Fanger""?
Sorry, but I'm gonna defeat you and win this tournament!",,,,
0x12c0ea,"ふっ...なかなかのじしんだな
ここまでこれたぐらいだ
かなリのデンジュウなんだろう
オレにはわかる わかるぞ...
オマエのつれているデンジュウが
つよいヤツだということを...
だが まだまだあまい!
いくぞ! テレファングだ!","Hmph, that's some confidence you have there.
As expected of one who's made it this far.
I've seen many Denjuu, so I understand...
Yes, I understand that the Denjuu who follows you is indeed very strong...
But it won't be good enough! 
Let's go! Telefang!",,,,
0x12c0ec,"なにっ!
まさかオレが まけるとは!
...オレもまだ しゅぎょうが
たリんな...
みごとだ!しょうねん!
つぎあうときこそは キミに
かってみせよう!
さらばだ!","What!?
For me to lose here...
My training is still lacking...
Well done, young one! 
The next time we meet, I will surely defeat you!
Farewell!",,,,
0x12c0ee,"おー チミが 
Tファンガーたいかいの
ゆうしょうしゃか!
たいかいしゅさいしゃの
『カクザとう』とうしゅ
ネリカラでございます.....
ってチミはぁ!!!!","Well, it looks like you're the winner of the T-Fanger tournament, kid!
I am Mr. Nerikara, the leader of the Kakuza Party, who have kindly sponsored this tourna......
Gahhh, it's you!!",,,,
0x12c0f0,"あー!! どっかでみた
ヘんなおっさんじゃんか!
ここで なにをしてるんだよ!","Aaah!! You're that weird old man from before!
What are you doing here?!",,,,
0x12c0f2,"ヘんなおっさんとは なんだ!
ヘんなおっさんとは!
ワタシは なにもたくらんでなんかいないぞ!
ワタシは ジュンスイに
たいかいを....","Who are you calling a weird old man?!
I'm not weird!
And I'm not even planning anything!
I just honestly wanted to organize a.... ",,,,
0x12c0f4,"うそつけっ!
どうせ たいかいをしゅさいして
ユウメイになろうとか
かんがえてたんだろ!","Liar!
You obviously just wanted to sponsor a tournament so you could spread your name around!",,,,
0x12c0f6,"うー...ズボシだったリして..く..くそーーっ
もう チミとはかかわリたくない
もっと ちっちゃな ところから
はじめることにする!
それでは あかるいミライをー","Urk... How did he...
D-Darn you, kid...!!
I don't want to have to deal with you right now.
Looks like I'll need to start somewhere smaller!
Well then, for the bright future...!",,,,
0x12c0f8,"あっ にげた....
まぁ いいや ほっとこうっと
ゆうしょうしょうひんは
あるのかな...
おくにいってみよう...","Ah... He ran away.
Oh well, who cares.
The prize should be around here somewhere...
Let's take a look up ahead...",,,,
#######,58 strings   -   Barran story,,,,,
0x12c0fa,もう イヤだー!!,I can't take it anymore!!,,,,
0x12c0fc,どうしたんだ?,"Hey, what happened?",,,,
0x12c0fe,"きいてくれよ!
このさきに バーランっていう
まちがあるんだけど
そこでは トリぐみデンジュウと
ヘビぐみデンジュウが 
ながいあいだ ケンカしてるんだ
まいにち ケンカしてるなんて
イヤだろ?
そんなせいかつが イヤで
まちをとびだしてきたんだ","Listen to this!
Just up ahead of here there's a town called Barran...
The bird and snake Denjuu there have been at each other's throats for generations.
Would YOU wanna live somewhere like that?
I'm sick of watching them fight every day, so I'm leaving town.",,,,
0x12c100,"そうなのか....
なんで そんなにながいあいだ
ケンカしてるんだ?","I see... 
Why have they been fighting for so long?",,,,
0x12c102,"くわしい はなしは トリぐみの
おさにでも きいてくれよ
オイラは これから フリジアで あたらしいせいかつを
はじめるんだ
まいにち ケンカしなくていいし
そのことも おさに
つたえておいてくれよ","If you want to know, you should talk to the chief of the Bird Clan.
I'm off to start a new life in Freesia.
It'll be nice to live somewhere peaceful for a change...
Tell that to the chief when you see him, too.",,,,
0x12c104,"..オマエとは えんがあったら
また あいたいな...
オイラのナマエは『ガンバンオー』じゃあ またな!","...Hey, if you're in the area, feel free to drop by.
My name is ""Ganbanno"". Seeya!",,,,
0x12c106,"... ... ... ...
はなしだけでも おさに
きいてみるか
でんごんも あることだし...
よしっ! バーランのまちに
いってみよう!","................
I guess I should at least go talk to the chief...
He wanted me to pass a message along anyway...
Alright! Let's head for Barran!",,,,
0x12c108,"バーランのまちに ようこそ
ニンゲンのおきゃくじん
ワシはトリぐみのおさじゃ","Welcome to the town of Barran, human visitor!
I am the chief of the Bird Clan.",,,,
