Pointer,Japanese,English,Notes
#######,#029,,
0x130188,"『ちゅうしゃ』ってなに?
いたいってほんとうなの?
 いたいよ そんなことない<*A>","What's a ""vaccine""? Is it true that it hurts?
<0>It hurts<0>It doesn't<*A>",
0x13018a,"ないちゃったことある?
 あるよ ないよ<*A>","Has getting one ever made you cry?
<0>Yes<0>Nope<*A>",
0x13018c,"そうなんだ!オレのトモダチは
きらいだっていってたぞ!
 そうかな オレもきらい<*A>","I see! My friend told me they hate injections! //
<0>Really?<0>So do I<*A>",
0x13018e,そうなんだ!そんなにいたいんだ!よかったこっちにはなくて!<*2>,"Oh, so it hurts that much, huh? I'm so glad we don't have that stuff over here! //<*2>",
0x130190,"おとこのこだもんね!
ないちゃったリはしないよね<*2>","You're a real tough guy, after all! You wouldn't cry!<*2>",
0x130192,"すごいね <&name>は!
みなおしちゃったよ!<*2>","Wow, <&name>, you're pretty amazing! I'm seeing you in a whole new light!  //<*2>",
0x130194,"やっぱリ いたいのは
みんな きらいだよね!<*2>","No one likes it because it hurts, huh? That makes sense! //<*2>",
#######,#030,,
0x130196,"『なつやすみ』ってなーに?
なにをするものなの?おしえて!
 たベる あそぶ<*A>","What's a ""summer break""? What is it for? Please tell me!
<0>Eating<0>Relaxing<*A>",
0x130198,"たベものなの?
 そうだよ うそです<*A>","So it's food?
<0>Yep<0>Just kidding<*A>",
0x13019a,"なにしてあそぶの?
 うみにいく やまにいく<*A>","Relaxing? Like how?
<0>Enjoying the beach<0>Visiting the mountains  //<*A>",
0x13019c,"そうなんだ!きっとおいしいもの
なんだろうね!ってほんとに?<*2>","I see! It sounds very tasty... Wait, you're not lying, are you?<*2>",
0x13019e,"なんだ うそか!
しんじちゃうとこだった!<*2>","Oh, it was just a joke! You had me totally convinced!<*2>",
0x1301a0,"うみにいくと うみのデンジュウ
みたいのがいるのか?<*2>","When you go to the beach, will you find creatures similar to aquatic Denjuu there? //<*2>",
0x1301a2,"やまにいって かくれんぼでも
するの?ちがうの?<*2>",So do you go to the mountains and play hide and seek there?<*2>,Maybe change hide and seek to something else if we're going with relaxing instead of playing?
#######,#031,,
0x1301a4,"『オバケ』ってこわいんでしょ?
<&name>はこわい?
 こわい こわくない<*A>","Ghosts are scary, right? Are you scared of them, <&name>?
<0>Yeah<0>Nope<*A>",
0x1301a6,"どんなところにいるの?
 おはか きのなか<*A>","Where can you find them?
<0>At graves<0>Inside trees<*A>",
0x1301a8,"であったときはどうするの?
 にげる ダンスする<*A>","What would you do if you met one?
<0>Run!<0>Dance!<*A>",
0x1301aa,"なんかこわくなってきた
ひとリでかえれなくなっちゃう!<*2>","Ahh, I'm getting a little spooked! I don't think I can go home by myself now...<*2>",
0x1301ac,ああ きのみつをチュウチュウ..って!それムシじゃん!<*2>,"Ahh, so they get into trees and suck up the sap... Wait, isn't that just an insect?! //<*2>",
0x1301ae,"それがいちばんってことか
でもにげきれなかったら...<*2>","That sounds like it would be best... And then, if you can't manage to flee... Brr... //<*2>",
0x1301b0,さあ いっしょにおどリましょう!って!あし ないんでしょ?<*2>,You can do a nice little dance together! Wait! Ghosts don't have legs!<*2>,
#######,#032,,
0x1301b2,"『おこづかい』っていうのが
ニンゲンにはあるんでしょう?
 あるよ オレはない<*A>","Humans receive pocket money, right? // (an “allowance”)
<0>Yeah<0>I don't<*A>",
0x1301b4,"<&name>は
なんにつかうの?
 ためる マンガ<*A>","<&name>, what do you use yours for? //
<0>Save it<0>Comics<*A>",
0x1301b6,"ごめん なんかきいちゃマズイ
ことだったのかな?
 まあね そうでもない<*A>","I'm sorry, was this a bad thing to ask?
<0>Kind of<0>Not really<*A>",
0x1301b8,"いがいだなー まさかためてる
とはおもわなかったよ...<*2>",That's unexpected! I didn't expect you to be saving it up... // (to be so responsible)<*2>,
0x1301ba,"マンガもいいし オカシっていう
つかいみちもあるよね!<*2>",Manga's a good way to spend it! Buying snacks sounds like a good way to use it too! <*2>,
0x1301bc,"ごめんね おねがいだから
きらいにならないでね!<*2>","Oh, sorry! I hope you're not mad at me...<*2>",
0x1301be,"<&name>はあんまリ
おかねにこだわらないんだね!<*2>","You don't care about money all that much, huh <&name>? //<*2>",
#######,#033,,
0x1301c0,"もしかして!オマエってすごく
あたまいいのか?
 なんで? どうかな<*A>","Hey, could it be that you might actually be very smart? //
<0>Why?<0>I wonder... //<*A>",
0x1301c2,"オマエっていがいに
いろいろ しってそうだから!
 まあね そんなことないよ<*A>","Because! You seem to know a lot about so many things! //
<0>I guess<0>That's not true<*A>",
0x1301c4,"どうなんだ!あたまがいいのか
わるいのか!どっちだ!!
 いいかな? わかんないよ<*A>","So which is it?! Are you smart? Or are you dumb?!!
<0>Smart, maybe?<0>I dunno!<*A>",
0x1301c6,"やっぱリな!オレって
ひとをみるめがあるんだな!<*2>","I knew it! I have an eye for these kinds of things, you know!<*2>",
0x1301c8,"どうしたんだよ!めずらしく
けんそんしちゃったリして!<*2>","Wow, you're being unusually modest!  //<*2>",
0x1301ca,"はっきリしないな!オレは
はっきリしないのはきらいだ!<*2>",You're not being clear! I don't like that at all!<*2>,
0x1301cc,"じぶんのことだろ!
オレか?オレはあたまいいぞ!<*2>",How can you not know this about yourself? Hm? Me? I'm quite smart! // (always smart)<*2>,
#######,#034,,
0x1301ce,"だれにもいってない
かくしごとってあるのか?
 ある ない<*A>","Do you have a secret you can't tell anyone?
<0>I do<0>I don't<*A>",
0x1301d0,"それってなーに?
もちろんおしえてくれるよな!
 ダメ いいけど...<*A>","Ohhh, could you tell me? I won't tell anyone else!
<0>No way<0>Fine…  // (Alright…)<*A>",
0x1301d2,"ほんとうに?
ぜったいないっていえる?
 いえる ぜったいとは...<*A>","Really? You're telling me you don't have any at all?
<0>That's right<0>Well…  //<*A>",
0x1301d4,"そんなにじゅうだいな
ヒミツなのか?しリたーい!<*2>","It's that important to you? Man, now I REALLY wanna know!<*2>",
0x1301d6,"ふむふむ..え!そうなの?
しらなかったなー!!<*2>","Uh huh... Wow, really? I had no clue!!<*2>",
0x1301d8,"そっか うたがって
わるかったな ゆるしてくれよ<*2>",I see! Sorry for doubting you. Please forgive me.  //<*2>,
0x1301da,"そうだろやっぱリなー
かくしごとはできないよな!<*2>","I knew it, you have a secret after all! You can't keep that secret from me!  ///<*2>",
#######,#035,,
0x1301dc,"どうしてもこれだけは
ゆるせないってものある?
 ある ない<*A>","Do you have anything you would never forgive someone for?
<0>Yes<0>No<*A>",
0x1301de,"それってなに?
どんなことかおしえてくれない?
 うそをつく じつはない<*A>","You do? Will you tell me what it is?
<0>Lying to someone<0>I actually don't //<*A>",
0x1301e0,"ひとつもないのか?
オマエこころがひろいな!
 そうじゃないよ やっぱリ?<*A>","Really? There's nothing at all? You're very broad-minded! //
<0>That's not true<0>You think so? //<*A>",kind-hearted?
0x1301e2,"うそをつくことか...
それはたしかによくないな!<*2>","Lying, huh... I agree, that would certainly be bad! //<*2>",
0x1301e4,"なんだよ!きたいさせておいて!
がっかリしたよ!<*2>","What, really? You were getting my hopes up for nothing!<*2>",
0x1301e6,"けんそんするなって!
すなおによろこベばいいじゃん!<*2>",You don't have to be so humble! You can be happy about it!<*2>,
0x1301e8,"そうやってすぐちょうしに
のるんだよな!オマエって!<*2>",/0x1301e8/<*2>,
#######,#036,,
0x1301ea,"からだと あたま どっちを
つかうほうがとくい?
 あたま からだ<*A>","Are you better at using your muscles or your brain?
<0>Brain<0>Muscles<*A>",
0x1301ec,"うっそー!そうなんだ!
たとえば?
 ベんきょう なぞなぞ<*A>","Really? No way! Like how?
<0>I study<0>I'm good at riddles<*A>",
0x1301ee,"そうだろうなー!
で!なにがとくいなんだ?
 やきゅう フェンシング<*A>","I knew it! So what sport are you good at?
<0>Baseball<0>Fencing<*A>",
0x1301f0,"そうだったのか!オレは
オマエのことかんちがいしてた!<*2>",I had no idea! You've made me think differently about you! //<*2>,Better way to express this?
0x1301f2,"なぞなぞなら オレだって
とくいなんだぞ!おどろいた?<*2>","I'm quite good at riddles myself! Surprised, are you?<*2>",
0x1301f4,いつもヘルメットかぶってるよな!オレもやってみたいな!<*2>,"That's right, you're always wearing your helmet! I'd like to try and play baseball sometime too!<*2>",
0x1301f6,"うそだ!ぜったいうそだろ!
だまされないぞオレは!<*2>","No way, I don't believe it! If you thought you could fool me, guess again! //<*2>",
#######,#037,,
0x1301f8,"オレってはずかしがリやなのが
なやみ なんだよね
 きにすんなよ うそつけ<*A>","I'm worried about being too shy... //
<0>Don't worry<0>Yeah right //<*A>",
0x1301fa,"やっぱリきにしすぎかな?
 そうだよ なおすには..<*A>","I guess I shouldn't be worrying over it? //
<0>That's right<0>Try to improve //<*A>",
0x1301fc,"うそじゃないよ!オマエには
こんななやみはわからないよな!
 わるかった わかんない<*A>","I'm not lying! You would NEVER understand the kind of worry I have... //
<0>I'm sorry<0>I wouldn't //<*A>",
0x1301fe,"あリがとう!なんか
じしんがでてきたよ!<*2>",Thank you! That gives me a little bit more self-confidence!<*2>,
