Pointer,Japanese,English,Draft version,German,Draft version (German),Notes
0x11416e,"よろしいですか?
 はい  いいえ<*A>","Is this correct?
<0>Yes<0>No<*A>",,"Ist das richtig so?
<0>Ja<0>Nein<*A>",,
0x114170,"しんかにひつような
アイテムがあリません!!<*2>",You have no items needed for evolution!!<*2>,,"Du besitzt keine Items, die für eine Entwicklung nötig wären!<*2>",,
0x114172,"<S0>どのアイテムを
くみあわせますか?<*2>",<S0>Which item will you combine?<*2>,,<S0>Welche Items willst du kombinieren?<*2>,,
0x114174,<S0><&0xca53><*4>,<S0><&0xd6b1><*4>,,<S0><&0xd6b1><*4>,,
0x114176,"<S2>
<&0xca00><*4>","<S2>
<&0xccc0><*4>",,"<S2>
<&0xccc0><*4>",,
0x114178,"<S2>
<&0xca00><*2>","<S2>
<&0xccc0><*2>",,"<S2>
<&0xccc0><*2>",,
0x11417a,カギをつかった。,You used the key.,,Du setzt den Schlüssel ein.,,
0x11417c,カギがかかっている。,It's locked.,,Ist verschlossen.,,
0x11417e,"<S15> <S1>『<&0xca53>』を
<S0>        <S2> てにいれた。","<S15> <S1>""<&0xca53>""
<S0>        <S2> obtained<S2>.",,"<S15> <S1>""<&0xca53>""
<S0>        <S2> erhalten<S2>.",,
0x114180,"あれ? <&name>?
ほかのトモダチと
おもったんだけどなー<*2>","Hm? <&name>?
I was expecting someone else...<*2>",,"Hm? <&name>?
Da hab ich mich wohl verwählt...<*2>",,
0x114182,"やぁ <&name>
いまどこいるんだ?
まぁ どこでもいいんだけどな
ゲンキでやってればね
ちょっと きになっただけさ<*2>","Hey <&name>, where are you right now?
Well, I guess it doesn't matter so long as you're doing alright.
I was just kind of worried is all.<*2>",,"Hey <&name>, wo treibst du dich rum?
Naja, ist ja auch nicht so wichtig, so lange es dir gut geht.
War nur ein wenig besorgt, das ist alles.<*2>",,
0x114184,"もしもし?
このさいきん ヒマしてない?
おれは ヒマなんだよねー<*2>","Hello? 
Hey, have you done anything interesting lately? I'm so bored...<*2>",,"Hallo? 
Hey, was machst du denn gerade so? Mir ist so langweilig...<*2>",,
0x114186,"もしもーし...あれ?
もしもーし???
ケンガイなのかな?
もしもーし??
あっ...つながった
それで ようじはなんだっけ?
わすれちゃったよ<*2>","Helloo... Huh? 
Hello?? 
Is the reception bad? 
Hello?? 
Ah... There we go. 
Now, what was I going to ask you about again? 
Ugh, I forgot!<*2>",,"Hallooo... Hm?
Hallo-o??
Ist der Empfang schlecht?
Hallo??
Ah... Jetzt geht's.
So, was wollte ich dich noch gleich fragen?
Mist, jetzt hab' ich's vergessen...<*2>",,
0x114188,"こちらから おくリますか?
   おくる   うけとる<*4>","What will you do?
<0>Send<0>Receive<*4>",,"Was willst du tun?
<0>Senden<0>Empfangen<*4>",,
0x11418a,<*0>,<*0>,,<*0>,,
0x11418c,<ALIAS ROW 0xC5>,<ALIAS ROW 0xC5>,,<ALIAS ROW 0xC5>,,
0x11418e,<ALIAS ROW 0xC5>,<ALIAS ROW 0xC5>,,<ALIAS ROW 0xC5>,,
0x114190,<ALIAS ROW 0xC5>,<ALIAS ROW 0xC5>,,<ALIAS ROW 0xC5>,,
0x114192,<ALIAS ROW 0xC5>,<ALIAS ROW 0xC5>,,<ALIAS ROW 0xC5>,,
0x114194,<ALIAS ROW 0xC5>,<ALIAS ROW 0xC5>,,<ALIAS ROW 0xC5>,,
0x114196,<ALIAS ROW 0xC5>,<ALIAS ROW 0xC5>,,<ALIAS ROW 0xC5>,,
0x114198,<ALIAS ROW 0xC5>,<ALIAS ROW 0xC5>,,<ALIAS ROW 0xC5>,,
0x11419a,<ALIAS ROW 0xC5>,<ALIAS ROW 0xC5>,,<ALIAS ROW 0xC5>,,
0x11419c,<ALIAS ROW 0xC5>,<ALIAS ROW 0xC5>,,<ALIAS ROW 0xC5>,,
0x11419e,<ALIAS ROW 0xC5>,<ALIAS ROW 0xC5>,,<ALIAS ROW 0xC5>,,
0x1141a0,<S0><0xea><&0xcc90><0xeb><*4>,<S0><0xea><&0xcc90><0xeb><*4>,,<S0><0xea><&0xcc90><0xeb><*4>,,
